file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R,min_height_exp,spread_time_ms_00R,spread_time_ms_02R,spread_time_width_ms
higherResolution_t_rc20250201T130150.mat,-6.47132624775624,0.0398107170553497,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.08473312007942,2.6528315590356,0.219072476326679,0.171937008490803,0.00668475265398914,0.00925415169156051,1.83104221935877,0.547477077053746,0.685277429781569,0.928699890708404
higherResolution_t_rc20250201T130316.mat,-4.40886324888294,0.0184784979742229,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.20316693674823,2.36281044808526,0.82078602936159,0.812261568023185,0.00607376482339152,0.00911816000611663,1.79494680674929,0.763190494080672,1.09078290018723,1.02836306473536
higherResolution_t_rc20250201T130318.mat,-15.0542790413596,0.215443469003188,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.62589518883422,1.98077671155454,0.206370446431703,0.198033105105599,0.00961586706386633,0.0119457017928663,1.70427038039284,0.467925305857375,0.508148111518461,0.68572434984447
higherResolution_t_rc20250201T130338.mat,-10.2563609162638,0.1,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.8098772813952,1.89200125990531,0.766994758811154,0.76494741078894,0.00898280057474417,0.0118272039347242,1.59488454868344,0.554478824705861,0.70851727305243,0.855405000392613
higherResolution_t_rc20250201T130422.mat,-6.47132624775624,0.0398107170553497,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.00801184261472,2.12546588481223,0.805299680258774,0.801063772285868,0.00730162578427045,0.0101777458949031,1.72207017325859,0.715667994058848,0.893840125802113,0.955813041191075
higherResolution_t_rc20250201T130528.mat,-10.2563609162638,0.1,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.78589257135284,1.84209518621468,0.923716233155162,0.923110900235075,0.00919438399000311,0.0119467114930004,1.54371048288424,0.679765415672455,0.713582367098643,0.906651834271947
higherResolution_t_rc20250201T130548.mat,-4.40886324888294,0.0184784979742229,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.17411713265966,2.30873312047422,0.934650900546544,0.931760788667695,0.00653334868295173,0.00935339551221982,1.78193728086076,1.34046224199468,1.26895503193049,1.01629622303703
higherResolution_t_rc20250201T130559.mat,-15.0542790413596,0.215443469003188,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.66865054151844,1.73139531645569,0.714596882031235,0.713390120133528,0.0108302713644798,0.0135365678851593,1.44545383909374,0.582932735377222,0.564757986152583,0.753209279342546
higherResolution_t_rc20250201T130630.mat,-6.47132624775624,0.0398107170553497,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.98045177206915,2.07302726409849,0.934883165668978,0.933577687492538,0.00738869454975633,0.0103073051063088,1.69795378137125,1.32273441283293,1.21592051779955,0.971306270038315
higherResolution_t_rc20250201T130715.mat,-9.49860792700009,0.0857695898590894,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.85084495382781,2.28142078546654,0.225180572323294,0.205581667377355,0.00786412931593173,0.010364905753359,1.78169142849439,0.545838370156442,0.599468777704557,0.815033221377208
