file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms
simulation 20241024T153029.mat,-34.0165008737127,1.1,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.1844097689875,1.44256261158085,0.265665439335757,1.3359279374838,1.47398938034896,0.717095708663813,0.296738948614418,0.517509368658525
simulation 20241024T153030.mat,-39.7227150213823,1.5,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.20590353406372,1.40002064760533,0.240298020747442,1.28583125039567,1.59199919293057,0.733523565504838,0.18855496937446,0.480815171904867
simulation 20241024T153031.mat,-34.0165008737127,1.1,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.11423762557443,1.4895842580582,0.127668209006139,1.51648238426467,1.52281676773884,0.627948879580706,0.201518123518954,0.484350577580638
simulation 20241024T153037.mat,-36.9798351832539,1.3,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.31015714837042,1.41545406636596,0.703975853800486,0.621539048161738,1.06641698556982,0.780589932800563,0.227338483836577,0.470138275138107
simulation 20241024T153038.mat,-34.0165008737127,1.1,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.28531044988306,1.44637668129589,0.635708046137859,0.806810542680476,1.15203574567167,0.757624887758324,0.276127498503771,0.499457495219801
simulation 20241024T153052.mat,-39.7227150213823,1.5,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.31560336201224,1.41003465045268,0.589120045941584,0.693932391859144,1.0604483050876,0.802956236532486,0.208388809034028,0.456440744863054
simulation 20241024T153053.mat,-34.0165008737127,1.1,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.26281095584632,1.45431464914974,0.492480503841847,1.01585157468995,1.57036950362967,0.755118404239434,0.312688142457908,0.50953477173678
simulation 20241024T153118.mat,-39.7227150213823,1.5,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.3251061368499,1.4003811910211,0.680924353002728,0.560391329188554,1.0233477420711,0.80570732618393,0.204611368386886,0.45014501045115
simulation 20241024T153119.mat,-34.0165008737127,1.1,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.28565315466344,1.44717948348291,0.63390429360807,0.808316006080516,1.15041920742371,0.76550470090579,0.286665773555371,0.497363018540432
simulation 20241024T153144.mat,-36.9798351832539,1.3,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.12168256235512,1.44969777724767,0.122145796226589,1.49701811016288,1.62977185932716,0.671666861766045,0.291702361084894,0.467982924618212
