file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R
WeOhSweep20241108T223201.mat,-1.62552365956107,0.00251188643150958,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.40005303137563,2.71594252573417,0.940209899362704,0.940209899362704,0.00340031702015148,0.00650163708588069
WeOhSweep20241108T223536.mat,-0.182386754393198,3.16227766016838e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332752220396787,0.00645754610476661
WeOhSweep20241108T223708.mat,-0.363909417790234,0.000125892541179417,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,4.24830917855793,NaN,0.445164357785978,NaN,0.00339763327449748,0.00649711463853072
WeOhSweep20241108T224038.mat,-0.726094747379119,0.000501187233627273,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.53502752750753,NaN,0.833381603521817,NaN,0.00389201000629094,0.00672807612771668
WeOhSweep20241108T224058.mat,-1.4487494865424,0.00199526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.94085520803909,3.2785688168365,0.905740727567967,0.842872264434901,0.00450039274315725,0.00732221354560446
WeOhSweep20241108T224443.mat,-0.182386754393198,3.16227766016838e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.01140458136071,NaN,0.970092267216505,NaN,0.001274292906433,0.00452912035111927
WeOhSweep20241108T224629.mat,-0.363909417790234,0.000125892541179417,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.83480209164977,3.93286888648861,0.961050183353428,0.961050183353428,0.00152497273129074,0.00485622262049577
WeOhSweep20241108T224957.mat,-0.726094747379119,0.000501187233627273,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.6508697969184,3.20437111882389,0.951843855208026,0.951843855208026,0.0022798162099058,0.00541869357904725
WeOhSweep20241108T225046.mat,-1.4487494865424,0.00199526231496888,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.44036695898799,2.78033785209034,0.941787360073127,0.941787360073127,0.00326546523335203,0.00631241494950649
WeOhSweep20241108T225343.mat,-0.162552365956107,2.51188643150958e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332741001667142,0.00645732427939901
WeOhSweep20241108T225524.mat,-0.324334610001251,0.0001,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00339710116213617,0.00649621794761408
WeOhSweep20241108T225922.mat,-0.647132624775624,0.000398107170553497,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.64749422328972,NaN,0.80651671483686,NaN,0.00389165622947173,0.00668927683885571
WeOhSweep20241108T230003.mat,-1.2911993390017,0.00158489319246111,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.02446079655334,3.42979758727307,0.901623934133226,0.801037254603744,0.0043387432169152,0.00717248497657874
WeOhSweep20241108T230246.mat,-0.162552365956107,2.51188643150958e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.04667926802152,NaN,0.969256316914106,NaN,0.00127451250784854,0.0044882312657986
WeOhSweep20241108T230446.mat,-0.324334610001251,0.0001,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.85885301437305,4.11716636901019,0.963163739319278,0.963163739319278,0.00143968281949097,0.0047741039656944
WeOhSweep20241108T230838.mat,-0.647132624775624,0.000398107170553497,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.68179241184833,3.29216794997355,0.954346215381531,0.954346215381531,0.00203121962721163,0.00529865492526767
WeOhSweep20241108T230951.mat,-1.2911993390017,0.00158489319246111,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.4774740969039,2.84863085600055,0.942743065504961,0.942743065504961,0.00326707848234607,0.00616062182787217
WeOhSweep20241108T231142.mat,-0.14487494865424,1.99526231496888e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332733260481067,0.00645709926548041
WeOhSweep20241108T231344.mat,-0.289063525432857,7.94328234724282e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00339662430326595,0.00649529390767305
WeOhSweep20241108T231806.mat,-0.576757558928228,0.000316227766016838,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.7661454420579,NaN,0.770947784960049,NaN,0.00372568079853791,0.00664987291152428
WeOhSweep20241108T231927.mat,-1.15078262220294,0.00125892541179417,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.11333468242603,3.62341773951843,0.894373105260786,0.705448342797544,0.00401543112623995,0.00706084561174255
WeOhSweep20241108T232050.mat,-0.14487494865424,1.99526231496888e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.0686686830828,NaN,0.968737129478646,NaN,0.00118778299289527,0.00444676244957308
WeOhSweep20241108T232308.mat,-0.289063525432857,7.94328234724282e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.88519450116521,4.32988345652689,0.965204392784922,0.965204392784922,0.00135668037085528,0.00473350565978497
WeOhSweep20241108T232727.mat,-0.576757558928228,0.000316227766016838,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.71477653444026,3.39280026490005,0.956548218037718,0.956548218037718,0.00203215920370907,0.00521886226517197
WeOhSweep20241108T232919.mat,-1.15078262220294,0.00125892541179417,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.51091633230961,2.91005634008335,0.945221462768606,0.945221462768605,0.0028471157382962,0.005967376183226
WeOhSweep20241108T232945.mat,-0.12911993390017,1.58489319246111e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332727735237242,0.00645682582956099
WeOhSweep20241108T233454.mat,-5.76757558928228,0.0316227766016838,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.04455748788488,2.15365915763148,0.900826878166167,0.89825577399255,0.00717325603653275,0.00989807322609422
WeOhSweep20241108T233638.mat,-2.89063525432857,0.00794328234724281,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.45548468184262,2.65696923422965,0.904975649998007,0.894371098218731,0.00567493952732835,0.00836770910018725
WeOhSweep20241108T233847.mat,-8.14691706131093,0.0630957344480193,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.88788290557323,1.96604112555248,0.890348535331274,0.888933266091656,0.0083367440946846,0.0110328307360717
WeOhSweep20241108T234002.mat,-4.08313082454925,0.0158489319246111,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.23055129027824,2.38663935383472,0.90399386344359,0.898905285749258,0.00625106348806248,0.00906192897708059
WeOhSweep20241108T234052.mat,-5.76757558928228,0.0316227766016838,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.96622019672905,2.07165653742679,0.915560003594534,0.915560003594534,0.00673052587462556,0.0094655567910256
WeOhSweep20241108T234408.mat,-8.14691706131093,0.0630957344480193,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.8471108651471,1.92389459625687,0.900366297443326,0.900366297443326,0.00787456187154013,0.0107053516643091
WeOhSweep20241108T234428.mat,-2.89063525432857,0.00794328234724281,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.20741659318251,2.40340027462787,0.931281261550357,0.931281261550357,0.004611947855048,0.00761082045085084
WeOhSweep20241108T234650.mat,-4.08313082454925,0.0158489319246111,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.08784914878678,2.23156694940852,0.924651198544607,0.924651198544607,0.00568210196767877,0.00845737104176937
WeOhSweep20241108T234717.mat,-5.14035715470512,0.0251188643150958,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.10296687164141,2.22536258017,0.90251328623572,0.899313125518971,0.0068098050177677,0.00960079853175117
WeOhSweep20241108T235005.mat,-7.26094747379119,0.0501187233627273,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.93758814586801,2.0246857088725,0.894962161116764,0.893254392292286,0.00784260552259843,0.0106251430572329
WeOhSweep20241109T153229-3.mat,-2.57628138222282,0.00630957344480193,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.53679970628799,2.74563271980051,0.906333604686836,0.892793410687328,0.00514155354993135,0.00814971567292283
WeOhSweep20241109T153344.mat,-5.14035715470512,0.0251188643150958,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.00676318074829,2.12343187469317,0.919133350903027,0.919133350903027,0.00625532119476742,0.00908901055042428
WeOhSweep20241109T153358.mat,-3.63909417790234,0.0125892541179417,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.3001844379723,2.47415154715092,0.904405005034699,0.89793876719551,0.00599335414011777,0.00881927928463015
WeOhSweep20241109T153549.mat,-7.26094747379119,0.0501187233627273,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.88627951072501,1.97154440965518,0.906415035075775,0.906415035075775,0.00736874704919012,0.0102669977487524
WeOhSweep20241109T154048.mat,-4.58134813647345,0.0199526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.16412493228061,2.30210636661047,0.90354828117715,0.899530453707044,0.00646572887999921,0.00933161847228569
WeOhSweep20241109T154127.mat,-3.63909417790234,0.0125892541179417,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.12793401999224,2.28655261978404,0.927166920829024,0.927166920829024,0.00518365713091956,0.00816671628105435
WeOhSweep20241109T154130.mat,-2.57628138222282,0.00630957344480193,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.24750146438798,2.46617886804107,0.932794239119516,0.932794239119516,0.00450783066473976,0.00738601049168914
